KEGGgene	Module	Organism
reh:H16_A2615	md:reh_M00023	Cupriavidus
reh:H16_A3322	md:reh_M00023	Cupriavidus
reh:H16_A2612	md:reh_M00023	Cupriavidus
reh:H16_A2614	md:reh_M00023	Cupriavidus
reh:H16_A0792	md:reh_M00024	Cupriavidus
reh:H16_A1151	md:reh_M00024	Cupriavidus
reh:H16_B1081	md:reh_M00024	Cupriavidus
reh:H16_A1494	md:reh_M00024	Cupriavidus
reh:H16_A0792	md:reh_M00025	Cupriavidus
reh:H16_A0794	md:reh_M00025	Cupriavidus
reh:H16_A1151	md:reh_M00025	Cupriavidus
reh:H16_B1081	md:reh_M00025	Cupriavidus
reh:H16_A1494	md:reh_M00025	Cupriavidus
reh:H16_A3417	md:reh_M00026	Cupriavidus
reh:H16_A2355	md:reh_M00026	Cupriavidus
reh:H16_A3408	md:reh_M00026	Cupriavidus
reh:H16_A3409	md:reh_M00026	Cupriavidus
reh:H16_A3411	md:reh_M00026	Cupriavidus
reh:H16_A3412	md:reh_M00026	Cupriavidus
reh:H16_A3410	md:reh_M00026	Cupriavidus
reh:H16_A3414	md:reh_M00026	Cupriavidus
reh:H16_A3415	md:reh_M00026	Cupriavidus
reh:H16_A0793	md:reh_M00026	Cupriavidus
reh:H16_A3415	md:reh_M00026	Cupriavidus
reh:H16_A0793	md:reh_M00026	Cupriavidus
reh:H16_A3416	md:reh_M00026	Cupriavidus
reh:H16_B0981	md:reh_M00027	Cupriavidus
reh:H16_B1537	md:reh_M00027	Cupriavidus
reh:H16_B0982	md:reh_M00027	Cupriavidus
reh:H16_B1179	md:reh_M00027	Cupriavidus
reh:H16_B2057	md:reh_M00027	Cupriavidus
reh:H16_B1899	md:reh_M00028	Cupriavidus
reh:H16_A0269	md:reh_M00028	Cupriavidus
reh:H16_A1683	md:reh_M00028	Cupriavidus
reh:H16_A2343	md:reh_M00028	Cupriavidus
reh:H16_A3263	md:reh_M00028	Cupriavidus
reh:H16_A0208	md:reh_M00028	Cupriavidus
reh:H16_A0220	md:reh_M00028	Cupriavidus
reh:H16_B0337	md:reh_M00028	Cupriavidus
reh:H16_A3025	md:reh_M00028	Cupriavidus
reh:H16_A1454	md:reh_M00028	Cupriavidus
reh:H16_B0459	md:reh_M00028	Cupriavidus
reh:H16_A3263	md:reh_M00028	Cupriavidus
reh:H16_A3063	md:reh_M00029	Cupriavidus
reh:H16_B2531	md:reh_M00029	Cupriavidus
reh:H16_A2925	md:reh_M00029	Cupriavidus
reh:H16_A2324	md:reh_M00032	Cupriavidus
reh:H16_A1377	md:reh_M00032	Cupriavidus
reh:H16_A2323	md:reh_M00032	Cupriavidus
reh:H16_B1098	md:reh_M00032	Cupriavidus
reh:H16_A2818	md:reh_M00032	Cupriavidus
reh:H16_A1225	md:reh_M00033	Cupriavidus
reh:H16_A2618	md:reh_M00033	Cupriavidus
reh:H16_B1692	md:reh_M00033	Cupriavidus
reh:H16_A1975	md:reh_M00034	Cupriavidus
reh:H16_A0230	md:reh_M00034	Cupriavidus
reh:H16_A2204	md:reh_M00034	Cupriavidus
reh:H16_A2643	md:reh_M00034	Cupriavidus
reh:H16_A2647	md:reh_M00034	Cupriavidus
reh:H16_A1603	md:reh_M00034	Cupriavidus
reh:H16_A3337	md:reh_M00034	Cupriavidus
reh:H16_A1151	md:reh_M00034	Cupriavidus
reh:H16_B1081	md:reh_M00034	Cupriavidus
reh:H16_A1494	md:reh_M00034	Cupriavidus
reh:H16_A1975	md:reh_M00035	Cupriavidus
reh:H16_A0230	md:reh_M00035	Cupriavidus
reh:H16_A0244	md:reh_M00035	Cupriavidus
reh:H16_A0561	md:reh_M00036	Cupriavidus
reh:H16_B2233	md:reh_M00036	Cupriavidus
reh:H16_B2234	md:reh_M00036	Cupriavidus
reh:H16_B2235	md:reh_M00036	Cupriavidus
reh:H16_A1377	md:reh_M00036	Cupriavidus
reh:H16_A2323	md:reh_M00036	Cupriavidus
reh:H16_B1098	md:reh_M00036	Cupriavidus
reh:H16_A1972	md:reh_M00036	Cupriavidus
reh:H16_A0167	md:reh_M00036	Cupriavidus
reh:H16_B1367	md:reh_M00036	Cupriavidus
