KEGGgene	EC	Organism
reh:H16_B1558	ec:3.2.1.1	Cupriavidus
reh:H16_B1559	ec:2.4.1.18	Cupriavidus
reh:H16_B1561	ec:2.4.1.25	Cupriavidus
reh:H16_B1576	ec:3.5.4.25	Cupriavidus
reh:H16_B1581	ec:2.1.1.14	Cupriavidus
reh:H16_B1583	ec:3.1.1.24	Cupriavidus
reh:H16_B1584	ec:5.3.3.4	Cupriavidus
reh:H16_B1593	ec:3.5.4.1	Cupriavidus
reh:H16_B1593	ec:3.5.4.21	Cupriavidus
reh:H16_B1595	ec:2.4.2.9	Cupriavidus
reh:H16_B1629	ec:1.3.1.9	Cupriavidus
reh:H16_B1629	ec:1.3.1.10	Cupriavidus
reh:H16_B1630	ec:2.7.2.1	Cupriavidus
reh:H16_B1631	ec:2.3.1.8	Cupriavidus
reh:H16_A0430	ec:2.4.1.15	Cupriavidus
reh:H16_A0430	ec:2.4.1.347	Cupriavidus
reh:H16_A0431	ec:4.2.1.96	Cupriavidus
reh:H16_A0453	ec:6.1.1.12	Cupriavidus
reh:H16_A0285	ec:6.2.1.3	Cupriavidus
reh:H16_A0471	ec:1.4.1.3	Cupriavidus
reh:H16_A1035	ec:2.2.1.6	Cupriavidus
reh:H16_A1072	ec:7.1.1.3	Cupriavidus
reh:H16_A0479	ec:3.5.2.3	Cupriavidus
reh:H16_A0490	ec:6.1.1.1	Cupriavidus
reh:H16_A0499	ec:3.1.4.46	Cupriavidus
reh:H16_A0513	ec:1.1.1.262	Cupriavidus
reh:H16_A0515	ec:6.1.1.2	Cupriavidus
reh:H16_A0517	ec:4.4.1.5	Cupriavidus
reh:H16_A0519	ec:2.3.1.51	Cupriavidus
reh:H16_A0535	ec:4.1.1.44	Cupriavidus
reh:H16_A0561	ec:2.6.1.42	Cupriavidus
reh:H16_A0566	ec:2.7.2.3	Cupriavidus
reh:H16_A0567	ec:2.7.1.40	Cupriavidus
reh:H16_A0569	ec:6.3.2.6	Cupriavidus
reh:H16_A0591	ec:2.1.1.63	Cupriavidus
reh:H16_A0603	ec:2.7.4.3	Cupriavidus
reh:H16_A0604	ec:2.7.7.38	Cupriavidus
reh:H16_A0606	ec:2.7.1.130	Cupriavidus
reh:H16_A0618	ec:1.6.5.5	Cupriavidus
reh:H16_A0624	ec:5.3.3.10	Cupriavidus
reh:H16_A0632	ec:1.6.5.5	Cupriavidus
reh:H16_A0666	ec:1.1.1.27	Cupriavidus
reh:H16_A0669	ec:3.1.3.48	Cupriavidus
reh:H16_A0670	ec:2.7.2.1	Cupriavidus
reh:H16_A0674	ec:4.6.1.1	Cupriavidus
reh:H16_A0689	ec:4.3.1.12	Cupriavidus
reh:H16_A0695	ec:4.2.1.49	Cupriavidus
reh:H16_A0734	ec:5.4.3.8	Cupriavidus
reh:H16_A0745	ec:1.2.1.3	Cupriavidus
reh:H16_A0746	ec:3.6.1.1	Cupriavidus
reh:H16_A0749	ec:6.3.5.1	Cupriavidus
reh:H16_A0753	ec:1.8.1.9	Cupriavidus
reh:H16_A0764	ec:6.1.1.11	Cupriavidus
reh:H16_A0770	ec:1.4.5.1	Cupriavidus
reh:H16_A0784	ec:2.3.2.2	Cupriavidus
reh:H16_A0784	ec:3.4.19.13	Cupriavidus
reh:H16_A1113	ec:4.1.1.7	Cupriavidus
reh:H16_A1736	ec:3.5.2.10	Cupriavidus
reh:H16_A1772	ec:1.2.1.28	Cupriavidus
reh:H16_A1779	ec:1.8.1.9	Cupriavidus
reh:H16_A1786	ec:1.3.1.32	Cupriavidus
reh:H16_A1809	ec:4.6.1.1	Cupriavidus
reh:H16_A1814	ec:1.1.1.30	Cupriavidus
reh:H16_A1848	ec:5.1.3.13	Cupriavidus
reh:H16_A1850	ec:1.1.1.133	Cupriavidus
reh:H16_A1851	ec:4.2.1.46	Cupriavidus
reh:H16_A1864	ec:2.7.7.24	Cupriavidus
reh:H16_A1887	ec:2.3.1.9	Cupriavidus
reh:H16_A1903	ec:2.5.1.47	Cupriavidus
reh:H16_A1905	ec:4.1.3.30	Cupriavidus
reh:H16_A1906	ec:2.3.3.5	Cupriavidus
reh:H16_A1909	ec:4.2.1.79	Cupriavidus
reh:H16_A1910	ec:3.5.1.38	Cupriavidus
reh:H16_A1918	ec:3.5.1.11	Cupriavidus
reh:H16_A1922	ec:3.4.17.13	Cupriavidus
reh:H16_B0175	ec:3.1.1.45	Cupriavidus
reh:H16_A2043	ec:2.3.1.129	Cupriavidus
reh:H16_A2663	ec:2.5.1.18	Cupriavidus
reh:H16_A2685	ec:5.2.1.8	Cupriavidus
reh:H16_A2703	ec:2.1.1.45	Cupriavidus
reh:H16_A2704	ec:1.5.1.3	Cupriavidus
reh:H16_A2049	ec:1.1.1.267	Cupriavidus
reh:H16_A2051	ec:2.5.1.31	Cupriavidus
reh:H16_A2056	ec:3.4.11.18	Cupriavidus
reh:H16_A2060	ec:6.5.1.2	Cupriavidus
reh:H16_B1461	ec:7.1.1.7	Cupriavidus
reh:H16_A2066	ec:2.3.1.117	Cupriavidus
reh:H16_B1462	ec:7.1.1.7	Cupriavidus
reh:H16_A2069	ec:3.5.1.18	Cupriavidus
reh:H16_A2079	ec:1.6.5.5	Cupriavidus
reh:H16_A2718	ec:2.8.3.1	Cupriavidus
reh:H16_A2724	ec:3.1.4.3	Cupriavidus
reh:H16_B1798	ec:1.1.1.100	Cupriavidus
reh:H16_A2730	ec:2.3.1.234	Cupriavidus
reh:H16_A2732	ec:2.2.1.7	Cupriavidus
reh:H16_A2733	ec:2.5.1.1	Cupriavidus
reh:H16_A2733	ec:2.5.1.10	Cupriavidus
reh:H16_A2748	ec:6.2.1.3	Cupriavidus
reh:H16_A2751	ec:6.1.1.9	Cupriavidus
reh:H16_A2752	ec:2.7.7.9	Cupriavidus
reh:H16_A2758	ec:4.2.1.7	Cupriavidus
reh:H16_A2761	ec:3.6.1.22	Cupriavidus
reh:H16_A2762	ec:4.1.2.48	Cupriavidus
reh:H16_A2769	ec:6.1.1.7	Cupriavidus
reh:H16_A2780	ec:2.3.2.2	Cupriavidus
reh:H16_A2780	ec:3.4.19.13	Cupriavidus
reh:H16_A2784	ec:6.1.1.18	Cupriavidus
reh:H16_A2802	ec:1.4.3.5	Cupriavidus
reh:H16_A2803	ec:2.1.1.79	Cupriavidus
reh:H16_A2815	ec:3.7.1.3	Cupriavidus
reh:H16_A2816	ec:1.13.11.11	Cupriavidus
reh:H16_A2818	ec:1.3.8.6	Cupriavidus
reh:H16_A2834	ec:2.1.2.1	Cupriavidus
reh:H16_A2860	ec:6.2.1.16	Cupriavidus
